X,Y,W.S.Elev.,Node #,Ice Concentration,Ice Thickness,Ice Velocity Ui,Vi,Ice Vel. Mag.,Water Vel. Uw,Vw,Ww(=0),Water Vel. Mag.,Water Depth,Froude Number,Water Temperature,Surface Water Temp.,Frazil Conc.,Surface Ice Thickness,Frazil Ice Thickness,Solid Crust Thickness,Anchor Ice Thickness,Undercover Ice Thickness,Bed Elev.,Top of Ice,Bottom of Ice,Border Ice Index,Ice Type
4158500.4522,168853.3551,177.6002,32.0,0.6,0.4312175,0.0,0.0,0.0,-0.1655383,-0.755865,0.0,0.7737796,22.10022,0.05302453,0.0,0.0,0.0,0.6309996,0.0,0.2996731,0.0,0.0,155.5,177.636,177.2048,0.0,0.0
4158567.8819,168796.2692,177.6283,33.0,0.6,0.3347546,0.0,0.0,0.0,-0.159366,-0.6331293,0.0,0.6528784,22.12828,0.04462156,0.0,0.0,0.0,0.5343991,0.0,0.2994665,0.0,0.0,155.5,177.6561,177.3213,0.0,0.0
4158648.3301,168759.3512,177.6638,34.0,0.6,0.2995269,0.0,0.0,0.0,-0.2157663,-0.4799606,0.0,0.5262293,22.16376,0.03591092,0.0,0.0,0.0,0.4984069,0.0,0.2995269,0.0,0.0,155.5,177.6886,177.3891,0.0,0.0
4158720.9121,168829.8121,177.6413,35.0,0.6,0.2998902,0.0,0.0,0.0,-0.3513245,-0.3565987,0.0,0.5005912,22.14131,0.03417912,0.0,0.0,0.0,0.4913176,0.0,0.2998902,0.0,0.0,155.5,177.6662,177.3663,0.0,0.0
4158748.8638,168750.8942,177.6172,36.0,0.6,0.2994484,0.0,0.0,0.0,-0.401158,-0.555757,0.0,0.6854149,22.1172,0.04682304,0.0,0.0,0.0,0.4789435,0.0,0.2994484,0.0,0.0,155.5,177.6421,177.3426,0.0,0.0
4158797.4292,168677.1324,177.6273,37.0,0.6,0.2988006,0.0,0.0,0.0,-0.3684546,-0.5650896,0.0,0.6745999,22.12728,0.0460718,0.0,0.0,0.0,0.4820688,0.0,0.2988007,0.0,0.0,155.5,177.6521,177.3533,0.0,0.0
4158468.8531,168758.5582,177.6407,38.0,0.6,0.3066888,0.0,0.0,0.0,-0.2257929,-0.6773651,0.0,0.7140069,22.14073,0.04875822,0.0,0.0,0.0,0.5055469,0.0,0.2982871,0.0,0.0,155.5,177.6662,177.3595,0.0,0.0
4158557.7891,168689.4293,177.6163,39.0,0.6,0.2984852,0.0,0.0,0.0,-0.2703975,-0.6375852,0.0,0.692553,22.11633,0.04730854,0.0,0.0,0.0,0.4858789,0.0,0.2984852,0.0,0.0,155.5,177.6411,177.3426,0.0,0.0
4158683.1392,168672.1871,177.6312,40.0,0.6,0.3043568,0.0,0.0,0.0,-0.3700628,-0.5761856,0.0,0.6847892,22.13122,0.04676944,0.0,0.0,0.0,0.503626,0.0,0.2989039,0.0,0.0,155.5,177.6565,177.3521,0.0,0.0
4158745.7412,168591.1168,177.6203,41.0,0.6,0.3322658,0.0,0.0,0.0,-0.3018899,-0.5518308,0.0,0.629011,22.12029,0.04299645,0.0,0.0,0.0,0.531404,0.0,0.2987072,0.0,0.0,155.5,177.6479,177.3156,0.0,0.0
4158437.253,168663.7613,177.6286,42.0,0.6,0.2972814,0.0,0.0,0.0,-0.2692389,-0.7033969,0.0,0.7531645,22.12861,0.05143503,0.0,0.0,0.0,0.4853273,0.0,0.2972814,0.0,0.0,155.5,177.6533,177.356,0.0,0.0
4158513.0161,168592.0934,177.6241,43.0,0.6,0.2980635,0.0,0.0,0.0,-0.2965679,-0.6658521,0.0,0.7289112,22.12407,0.04978427,0.0,0.0,0.0,0.4937811,0.0,0.2980635,0.0,0.0,155.5,177.6488,177.3507,0.0,0.0
4158629.9922,168590.0543,177.629,44.0,0.6,0.3105256,0.0,0.0,0.0,-0.3188701,-0.6403359,0.0,0.7153379,22.12897,0.04886503,0.0,0.0,0.0,0.5099056,0.0,0.2990698,0.0,0.0,155.5,177.6547,177.3442,0.0,0.0
4158701.0381,168500.9371,177.6248,45.0,0.6,0.3345484,0.0,0.0,0.0,-0.2761024,-0.5569699,0.0,0.6216494,22.12483,0.04249119,0.0,0.0,0.0,0.533424,0.0,0.2983132,0.0,0.0,155.5,177.6526,177.3181,0.0,0.0
4158397.5069,168572.1637,177.6196,46.0,0.6,0.3071947,0.0,0.0,0.0,-0.316755,-0.7128744,0.0,0.7800792,22.11965,0.0532946,0.0,0.0,0.0,0.5037005,0.0,0.2947588,0.0,0.0,155.5,177.6451,177.338,0.0,0.0
4158470.1939,168501.066,177.6143,47.0,0.6,0.3019655,0.0,0.0,0.0,-0.3220205,-0.686043,0.0,0.7578603,22.11427,0.05177699,0.0,0.0,0.0,0.4981467,0.0,0.2942718,0.0,0.0,155.5,177.6393,177.3374,0.0,0.0
4158587.0288,168499.4606,177.6206,48.0,0.6,0.3161328,0.0,0.0,0.0,-0.3354257,-0.6529037,0.0,0.7340257,22.12056,0.05015616,0.0,0.0,0.0,0.5146055,0.0,0.2977091,0.0,0.0,155.5,177.6468,177.3307,0.0,0.0
4158656.335,168410.7613,177.6277,49.0,0.6,0.4007671,0.0,0.0,0.0,-0.352302,-0.5435422,0.0,0.6477305,22.12774,0.04433186,0.0,0.0,0.0,0.5988625,0.0,0.2971432,0.0,0.0,155.5,177.661,177.2602,0.0,0.0
4158356.1358,168481.2028,177.6199,50.0,0.6,0.3073443,0.0,0.0,0.0,-0.3213356,-0.7064969,0.0,0.7761407,22.11985,0.0530263,0.0,0.0,0.0,0.5010669,0.0,0.2905838,0.0,0.0,155.5,177.6454,177.338,0.0,0.0
4158425.0572,168411.7965,177.6098,51.0,0.6,0.3130324,0.0,0.0,0.0,-0.3350994,-0.7279086,0.0,0.8013379,22.10976,0.05476624,0.0,0.0,0.0,0.5087878,0.0,0.2936331,0.0,0.0,155.5,177.6357,177.3227,0.0,0.0
4158537.3828,168414.3004,177.6176,52.0,0.6,0.344416,0.0,0.0,0.0,-0.3938982,-0.6805443,0.0,0.7863182,22.11755,0.05376437,0.0,0.0,0.0,0.5405458,0.0,0.2941948,0.0,0.0,155.5,177.6461,177.3017,0.0,0.0
4158592.4688,168333.4332,177.617,53.0,0.6,0.3909122,0.0,0.0,0.0,-0.4373107,-0.5897725,0.0,0.7342154,22.11697,0.05025081,0.0,0.0,0.0,0.5875615,0.0,0.2949739,0.0,0.0,155.5,177.6494,177.2585,0.0,0.0
4158314.7652,168390.2457,177.616,54.0,0.6,0.3486768,0.0,0.0,0.0,-0.314839,-0.6871287,0.0,0.7558237,22.11603,0.05168751,0.0,0.0,0.0,0.5463886,0.0,0.2965677,0.0,0.0,155.5,177.645,177.2963,0.0,0.0
4158380.604,168321.1168,177.6035,55.0,0.6,0.3195211,0.0,0.0,0.0,-0.3676649,-0.7777906,0.0,0.8603114,22.10355,0.058814,0.0,0.0,0.0,0.5180647,0.0,0.2978155,0.0,0.0,155.5,177.6301,177.3105,0.0,0.0
4158484.5552,168328.8043,177.6052,56.0,0.6,0.3131265,0.0,0.0,0.0,-0.4528776,-0.7578914,0.0,0.8828916,22.10518,0.06034565,0.0,0.0,0.0,0.5098823,0.0,0.2951336,0.0,0.0,155.5,177.6312,177.318,0.0,0.0
4158537.876,168251.0035,177.6146,57.0,0.6,0.2989315,0.0,0.0,0.0,-0.31476,-0.6451505,0.0,0.7178392,22.11464,0.04903624,0.0,0.0,0.0,0.4960114,0.0,0.2956197,0.0,0.0,155.5,177.6395,177.3405,0.0,0.0
4158272.8892,168299.5192,177.6192,58.0,0.6,0.3375359,0.0,0.0,0.0,-0.3105403,-0.6616699,0.0,0.7309188,22.11921,0.04996714,0.0,0.0,0.0,0.5359061,0.0,0.2975552,0.0,0.0,155.5,177.6472,177.3097,0.0,0.0
4158340.791,168228.6871,177.6022,59.0,0.6,0.3039285,0.0,0.0,0.0,-0.3197938,-0.8190755,0.0,0.8792911,22.10222,0.06008913,0.0,0.0,0.0,0.5028754,0.0,0.2984205,0.0,0.0,155.5,177.6274,177.3235,0.0,0.0
4158441.6489,168237.4528,177.6008,60.0,0.6,0.2980977,0.0,0.0,0.0,-0.3783022,-0.8219879,0.0,0.9048628,22.10078,0.06183271,0.0,0.0,0.0,0.4736335,0.0,0.2980977,0.0,0.0,155.5,177.6255,177.3274,0.0,0.0
4158505.7202,168155.6285,177.5289,61.0,0.6,0.2952766,0.0,0.0,0.0,-0.3192557,-1.561058,0.0,1.59337,8.190847,0.1807411,0.0,0.0,0.0,0.4256698,0.0,0.2952766,0.0,0.0,169.338,177.5534,177.2581,0.0,0.0
4158229.8589,168209.3356,177.5702,62.0,0.6,0.3549226,0.0,0.0,0.0,-0.5847607,-1.225585,0.0,1.357941,10.6502,0.1349095,0.0,0.0,0.0,0.5538806,0.0,0.2984371,0.0,0.0,166.92,177.5997,177.2447,0.0,0.0
4158306.1983,168136.0113,177.5371,63.0,0.6,0.3039008,0.0,0.0,0.0,-0.364858,-1.259477,0.0,1.31126,13.55314,0.1148998,0.0,0.0,0.0,0.5026845,0.0,0.2981756,0.0,0.0,163.984,177.5624,177.2585,0.0,0.0
4158414.9981,168140.859,177.5385,64.0,0.6,0.2967598,0.0,0.0,0.0,-0.302698,-1.335677,0.0,1.369547,14.00545,0.1179835,0.0,0.0,0.0,0.4364746,0.0,0.2967598,0.0,0.0,163.533,177.5631,177.2663,0.0,0.0
4158498.4571,168058.2574,177.5145,65.0,0.6,0.2933379,0.0,0.0,0.0,0.0675695,-1.431295,0.0,1.432889,7.459472,0.1706079,0.0,0.0,0.0,0.3993047,0.0,0.2933379,0.0,0.0,170.055,177.5388,177.2455,0.0,0.0
4158186.8291,168119.1481,177.5631,66.0,0.6,0.3205209,0.0,0.0,0.0,-0.4702395,-0.985585,0.0,1.092018,10.66513,0.1082631,0.0,0.0,0.0,0.5187493,0.0,0.2973427,0.0,0.0,166.898,177.5897,177.2692,0.0,0.0
4158262.8018,168049.7223,177.5509,67.0,0.6,0.2971705,0.0,0.0,0.0,-0.2135045,-1.095462,0.0,1.116074,13.37891,0.09842756,0.0,0.0,0.0,0.4737964,0.0,0.2971706,0.0,0.0,164.172,177.5756,177.2784,0.0,0.0
4158386.0298,168046.8512,177.5269,68.0,0.6,0.2960213,0.0,0.0,0.0,-0.1405902,-1.308182,0.0,1.315715,13.60387,0.1150464,0.0,0.0,0.0,0.4399937,0.0,0.2960213,0.0,0.0,163.923,177.5514,177.2554,0.0,0.0
4158435.4229,167944.8434,177.555,69.0,0.6,0.2974218,0.0,0.0,0.0,0.05241299,-0.7234142,0.0,0.7253105,18.95798,0.05357227,0.0,0.0,0.0,0.4811708,0.0,0.2974217,0.0,0.0,158.597,177.5797,177.2822,0.0,0.0
4158515.0039,167958.9762,177.5242,70.0,0.6,0.3045556,0.0,0.0,0.0,0.3048267,-1.828951,0.0,1.85418,4.263254,0.2965916,0.0,0.0,0.0,0.5025234,0.0,0.2969518,0.0,0.0,173.261,177.5495,177.245,0.0,0.0
4158143.7989,168028.9606,177.5907,71.0,0.6,0.2956083,0.0,0.0,0.0,-0.2161561,-0.7245111,0.0,0.7560686,10.3547,0.07601832,0.0,0.0,0.0,0.4445972,0.0,0.2956082,0.0,0.0,167.236,177.6152,177.3196,0.0,0.0
4158225.3008,167958.0699,177.5585,72.0,0.6,0.2971953,0.0,0.0,0.0,-0.0481379,-0.8935305,0.0,0.8948262,14.79055,0.07498036,0.0,0.0,0.0,0.4341237,0.0,0.2971953,0.0,0.0,162.768,177.5832,177.286,0.0,0.0
4158327.8672,167968.2028,177.5551,73.0,0.6,0.2978057,0.0,0.0,0.0,-0.1030038,-1.280807,0.0,1.284942,12.78207,0.1159947,0.0,0.0,0.0,0.460256,0.0,0.2978056,0.0,0.0,164.773,177.5798,177.282,0.0,0.0
4158369.2339,167886.1324,177.5296,74.0,0.6,0.2990808,0.0,0.0,0.0,-0.003449833,-0.961033,0.0,0.9610392,15.87161,0.07768922,0.0,0.0,0.0,0.4899876,0.0,0.2990807,0.0,0.0,161.658,177.5544,177.2554,0.0,0.0
4158449.9566,167833.3512,177.5673,75.0,0.6,0.356934,0.0,0.0,0.0,0.04963881,-0.8579504,0.0,0.8593852,12.92732,0.0772919,0.0,0.0,0.0,0.5567461,0.0,0.2997179,0.0,0.0,164.64,177.597,177.24,0.0,0.0
4158531.5503,167859.6988,177.5174,76.0,0.6,0.4055464,0.0,0.0,0.0,0.1822895,-1.093732,0.0,1.108819,6.645357,0.1413423,0.0,0.0,0.0,0.6052965,0.0,0.2996252,0.0,0.0,170.872,177.551,177.1455,0.0,0.0
4158130.5137,167930.3903,177.5983,77.0,0.6,0.2968428,0.0,0.0,0.0,-0.101078,-0.8446085,0.0,0.8506353,6.541331,0.1084506,0.0,0.0,0.0,0.4275148,0.0,0.2968428,0.0,0.0,171.057,177.623,177.3261,0.0,0.0
4158209.9717,167856.234,177.5465,78.0,0.6,0.2992728,0.0,0.0,0.0,-0.0005256536,-0.9204519,0.0,0.9204521,13.4745,0.08087993,0.0,0.0,0.0,0.4716321,0.0,0.2992727,0.0,0.0,164.072,177.5714,177.2721,0.0,0.0
4158293.4566,167871.6481,177.5747,79.0,0.6,0.2992804,0.0,0.0,0.0,0.01745588,-1.098144,0.0,1.098283,14.31065,0.09359124,0.0,0.0,0.0,0.472122,0.0,0.2992803,0.0,0.0,163.264,177.5995,177.3002,0.0,0.0
4158371.374,167792.7496,177.5271,80.0,0.6,0.3095254,0.0,0.0,0.0,0.04579484,-0.9851311,0.0,0.986195,15.79714,0.07993715,0.0,0.0,0.0,0.5094573,0.0,0.2998979,0.0,0.0,161.73,177.5528,177.2433,0.0,0.0
4158465.1587,167732.0934,177.5385,81.0,0.6,0.350944,0.0,0.0,0.0,0.09383964,-0.9922982,0.0,0.9967255,9.960544,0.1024928,0.0,0.0,0.0,0.5509382,0.0,0.2999911,0.0,0.0,167.578,177.5677,177.2167,0.0,0.0
4158548.0972,167760.4176,177.5011,82.0,0.6,0.4117446,0.0,0.0,0.0,0.124809,-0.7396904,0.0,0.7501461,8.877123,0.08214001,0.0,0.0,0.0,0.6117333,0.0,0.2999829,0.0,0.0,168.624,177.5353,177.1236,0.0,0.0
4158120.1094,167831.0113,177.5628,83.0,0.6,0.3412316,0.0,0.0,0.0,-0.1047877,-1.096776,0.0,1.10177,3.489812,0.1972844,0.0,0.0,0.0,0.5409843,0.0,0.299629,0.0,0.0,174.073,177.5911,177.2499,0.0,0.0
4158203.9688,167756.5192,177.543,84.0,0.6,0.3444348,0.0,0.0,0.0,0.007770697,-0.8837483,0.0,0.8837824,13.07495,0.07898986,0.0,0.0,0.0,0.5443782,0.0,0.299915,0.0,0.0,164.468,177.5715,177.2271,0.0,0.0
4158291.0918,167767.3238,177.5471,85.0,0.6,0.3031382,0.0,0.0,0.0,0.05739566,-1.217106,0.0,1.218459,12.50507,0.1112469,0.0,0.0,0.0,0.5030934,0.0,0.2999328,0.0,0.0,165.042,177.5722,177.2691,0.0,0.0
4158381.4224,167694.2067,177.5238,86.0,0.6,0.3060915,0.0,0.0,0.0,0.1020604,-0.9936589,0.0,0.9988865,15.67578,0.0812797,0.0,0.0,0.0,0.5060738,0.0,0.2999735,0.0,0.0,161.848,177.5492,177.2431,0.0,0.0
4158482.1656,167633.152,177.5376,87.0,0.6,0.2999688,0.0,0.0,0.0,0.1125273,-0.8213453,0.0,0.8290178,11.09456,0.08046851,0.0,0.0,0.0,0.4991663,0.0,0.2999687,0.0,0.0,166.443,177.5625,177.2625,0.0,0.0
4158565.0415,167661.2106,177.5166,88.0,0.6,0.3175078,0.0,0.0,0.0,0.1149065,-0.6059714,0.0,0.6167697,9.359604,0.0653916,0.0,0.0,0.0,0.5175052,0.0,0.299996,0.0,0.0,168.157,177.543,177.2254,0.0,0.0
4158111.5181,167731.5699,177.5371,89.0,0.6,0.4536798,0.0,0.0,0.0,-0.01593512,-0.716571,0.0,0.7167482,3.896145,0.122626,0.0,0.0,0.0,0.6536322,0.0,0.2999284,0.0,0.0,173.641,177.5748,177.1211,0.0,0.0
4158191.7447,167667.3746,177.5442,90.0,0.6,0.4184352,0.0,0.0,0.0,0.04430486,-0.8111382,0.0,0.8123472,12.49518,0.07452613,0.0,0.0,0.0,0.6184213,0.0,0.2999792,0.0,0.0,165.049,177.5789,177.1605,0.0,0.0
4158287.4243,167657.8356,177.54,91.0,0.6,0.317336,0.0,0.0,0.0,0.1061036,-1.113545,0.0,1.118589,12.85299,0.1007616,0.0,0.0,0.0,0.5173216,0.0,0.2999785,0.0,0.0,164.687,177.5663,177.249,0.0,0.0
4158395.5342,167594.5699,177.529,92.0,0.6,0.2999361,0.0,0.0,0.0,0.1253569,-0.9177817,0.0,0.9263031,16.81203,0.07272612,0.0,0.0,0.0,0.4952181,0.0,0.299936,0.0,0.0,160.717,177.5539,177.254,0.0,0.0
4158499.8711,167534.7809,177.5342,93.0,0.6,0.299969,0.0,0.0,0.0,0.1430179,-0.8189824,0.0,0.8313762,10.49417,0.0830322,0.0,0.0,0.0,0.4710918,0.0,0.299969,0.0,0.0,167.04,177.5591,177.2591,0.0,0.0
4158585.5923,167562.6832,177.5251,94.0,0.6,0.3000322,0.0,0.0,0.0,0.09803465,-0.4700259,0.0,0.4801407,11.01508,0.04677705,0.0,0.0,0.0,0.4628609,0.0,0.3000321,0.0,0.0,166.51,177.55,177.25,0.0,0.0
4158115.6778,167631.7301,177.5494,95.0,0.6,0.5387254,0.0,0.0,0.0,0.02403022,-0.576736,0.0,0.5772364,4.61639,0.09074719,0.0,0.0,0.0,0.7387092,0.0,0.2999759,0.0,0.0,172.933,177.5941,177.0554,0.0,0.0
4158207.6411,167574.8785,177.539,96.0,0.6,0.3940482,0.0,0.0,0.0,0.07113549,-0.731779,0.0,0.7352284,14.29697,0.06287762,0.0,0.0,0.0,0.5940375,0.0,0.299984,0.0,0.0,163.242,177.5717,177.1776,0.0,0.0
4158302.8115,167549.5231,177.5399,97.0,0.6,0.3118185,0.0,0.0,0.0,0.173449,-1.050203,0.0,1.06443,13.24191,0.09441403,0.0,0.0,0.0,0.5117984,0.0,0.2999698,0.0,0.0,164.298,177.5658,177.254,0.0,0.0
4158408.3638,167486.0153,177.5282,98.0,0.6,0.2999114,0.0,0.0,0.0,0.1531598,-0.852717,0.0,0.8663626,18.43517,0.06490907,0.0,0.0,0.0,0.4913763,0.0,0.2999115,0.0,0.0,159.093,177.5531,177.2531,0.0,0.0
